2.084770171897539992e+00,2.948515605087920211e+00,9.403603166942158254e-01,4.074550714034133492e+00,7.758782280277694010e-01,1.940885703471066037e+00
2.083934585535621054e+00,2.943515605087920317e+00,9.415185974335585906e-01,4.082087105960791718e+00,7.718499650951812230e-01,1.933446008444606568e+00
2.079814587577816454e+00,2.938515605087920424e+00,9.453392141242118463e-01,4.092197658170718455e+00,7.642359731176673332e-01,1.923388127563697481e+00
2.075709625913587875e+00,2.933515605087920530e+00,9.490123999115742670e-01,4.102350371354232195e+00,7.567855996472490077e-01,1.913273868415259704e+00
2.071630292992834299e+00,2.928515605087920637e+00,9.525500515331091211e-01,4.112502886535754243e+00,7.494919691529053907e-01,1.903138394558841595e+00
2.067577058812979818e+00,2.923515605087920743e+00,9.559531203504749719e-01,4.122651745488629338e+00,7.423536875794557455e-01,1.892985238439937934e+00
2.063550164871378101e+00,2.918515605087920850e+00,9.592227599185404463e-01,4.132793640005414382e+00,7.353693612788919642e-01,1.882817513509851493e+00
2.059549974426590602e+00,2.913515605087920957e+00,9.623601619202771795e-01,4.142925327633836474e+00,7.285376631749164167e-01,1.872638258447933080e+00
2.055576959570365680e+00,2.908515605087921063e+00,9.653665591981219762e-01,4.153043628828191558e+00,7.218573239009273834e-01,1.862450438529226204e+00
2.051631696711089692e+00,2.903515605087921170e+00,9.682432254905215530e-01,4.163145426342047095e+00,7.153271329780598320e-01,1.852256943169528824e+00
2.047714862059177854e+00,2.898515605087921276e+00,9.709914749750810925e-01,4.173227664174834928e+00,7.089459398405524304e-01,1.842060584187900307e+00
2.043827227444768635e+00,2.893515605087921383e+00,9.736126615539765217e-01,4.183287346265669449e+00,7.027126550400388805e-01,1.831864094538223853e+00
2.039969656487080840e+00,2.888515605087921490e+00,9.761081778885335458e-01,4.193321534895742886e+00,6.966262516523682446e-01,1.821670127516385795e+00
2.036143101153319090e+00,2.883515605087921596e+00,9.784794541897435805e-01,4.203327348771891181e+00,6.906857669278323453e-01,1.811481256435409470e+00
